epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
0,Train,Normal_accuracy,,,,,,61.072
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
0,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:1')"
0,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:1')"
1,Train,Normal_accuracy,,,,,,77.178
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.018000000000000002
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.023322708543885563
1,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:1')"
1,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:1')"
2,Train,Normal_accuracy,,,,,,80.946
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.068
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.08400662169841623
2,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:1')"
2,Train,Loss_measure,,,,,,"tensor(0.0047, device='cuda:1')"
3,Train,Normal_accuracy,,,,,,82.536
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.13
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.1575070272365998
3,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:1')"
3,Train,Loss_measure,,,,,,"tensor(0.0047, device='cuda:1')"
4,Train,Normal_accuracy,,,,,,82.91199999999999
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.172
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.20744886144345812
4,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:1')"
4,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
5,Train,Normal_accuracy,,,,,,82.702
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.31
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.37483978622040576
5,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:1')"
5,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
6,Train,Normal_accuracy,,,,,,83.172
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.36
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.4328379743182802
6,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:1')"
6,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
