NOTE the accuracy results in the csv file are not correct I forgot to adjust the normalization in the KNN code !!!  
So just pay attention to the Loss ! 
(I need to run through the checkpoints and calculate the val loss but probbaly using the last epoch should be fine !)
epoch,train_loss,test_acc@1,test_acc@5
5,19.30757697587161,10.0,50.0
10,13.80437477347777,10.0,50.0
15,11.695753480970245,10.0,50.0
20,10.186231652485956,10.0,49.97
25,9.442753034768645,10.0,48.4
30,8.870486500336952,9.68,48.04
35,8.532793566123727,9.29,47.61
40,7.961479939136309,8.37,43.29
45,7.634818067255709,8.260000000000002,42.72
50,7.401288720750317,7.13,40.28
55,7.100079128422688,9.65,43.74
60,6.8618487623549,8.450000000000001,42.11
65,6.74792183060007,7.26,39.89
70,6.59612523894949,7.140000000000001,38.72
75,6.486252996110425,8.23,41.660000000000004
80,6.296572852380497,8.52,40.2
85,6.143217789758112,7.739999999999999,38.48
90,6.075821847030797,7.6,36.16
95,5.837998965351852,7.1499999999999995,36.18
100,5.794065057616873,8.09,38.46
105,5.648169610918183,7.470000000000001,40.089999999999996
110,5.676004532686214,8.4,37.269999999999996
115,5.437863934900343,6.43,36.54
120,5.453922905872777,6.77,37.32
125,5.282143568255238,5.89,35.18
130,5.406680210349486,5.84,33.29
135,5.242499135204198,6.529999999999999,36.199999999999996
140,5.09627965799312,6.08,34.660000000000004
145,5.087120705044146,6.75,34.300000000000004
150,5.0095637262482,6.7299999999999995,35.04
155,4.818674038365944,6.15,35.74
160,4.896241935258059,7.000000000000001,35.0
165,4.6185219287872314,6.140000000000001,35.809999999999995
170,4.700452234327178,6.329999999999999,34.449999999999996
175,4.633533143505607,7.17,35.46
180,4.569204578694609,6.890000000000001,34.92
185,4.602367324927418,6.65,34.71
190,4.472072620981748,5.970000000000001,35.699999999999996
195,4.329001321006067,6.13,34.050000000000004
200,4.521210596733487,6.660000000000001,35.35
205,4.392016467359877,7.02,35.96
210,4.27000456249591,6.4799999999999995,35.160000000000004
215,4.248560866129767,5.46,34.39
220,4.254188810427165,5.06,33.77
225,4.218315134343412,5.1499999999999995,32.85
230,4.130335308841823,6.140000000000001,33.25
235,4.109170891574977,4.93,32.86
240,4.078226450792293,6.11,34.5
245,4.120184352717449,5.96,35.010000000000005
250,3.931058814845134,6.950000000000001,34.04
255,4.0249036734866115,6.74,35.160000000000004
260,3.981358665780923,8.03,37.3
265,3.966636876470035,6.47,34.89
270,4.025558555249086,6.74,34.73
275,3.876485229767475,6.9,35.160000000000004
280,3.8958223898386217,7.82,37.09
285,3.7916341417843533,7.71,37.63
290,3.8632768970174887,6.65,34.72
295,3.8353953484407404,8.870000000000001,38.29
300,3.8014806250935975,10.299999999999999,40.72
305,3.727307029606141,11.31,39.1
310,3.7197221579010953,10.14,38.03
315,3.802028316812417,10.02,37.84
320,3.598687368569915,9.139999999999999,37.730000000000004
325,3.765105918510673,9.49,37.940000000000005
330,3.6621740872097996,10.23,37.019999999999996
335,3.618183929895617,12.989999999999998,40.45
340,3.62847865242319,13.79,42.15
345,3.610290751014788,12.61,39.5
350,3.6172455586108967,15.010000000000002,41.699999999999996
355,3.510856982358952,14.06,40.27
360,3.4966757518728984,15.459999999999999,42.4
365,3.4839697990220846,13.15,40.6
370,3.5299566455723084,15.0,42.44
375,3.5442812762309597,15.67,43.36
380,3.397213962889209,15.83,42.49
385,3.3935921020114543,17.87,43.96
390,3.4400878665373495,17.26,44.89
395,3.4560374205874416,17.05,41.660000000000004
400,3.36904198853011,16.12,43.65
405,3.28745417005008,17.669999999999998,45.42
410,3.350464081026844,17.79,44.73
415,3.3589747984384752,18.88,44.97
420,3.2850961537705254,19.91,45.71
425,3.3596283480064155,17.51,44.690000000000005
430,3.28726344993434,19.71,45.87
435,3.3348593638115323,17.16,43.63
440,3.198409549968759,19.57,45.06
445,3.2724093039011217,20.14,46.25
450,3.2576803300798556,22.09,48.480000000000004
455,3.235962027126981,20.669999999999998,45.410000000000004
460,3.274133699456441,23.549999999999997,48.93
465,3.260575820490257,22.36,46.85
470,3.204800273954254,22.55,47.74
475,3.2466923231931077,24.0,49.09
480,3.2800100464181803,24.27,49.47
485,3.151798553073529,23.1,47.39
490,3.146555576127829,22.8,48.120000000000005
495,3.145543250840964,23.880000000000003,49.17
500,3.1595089828845153,24.560000000000002,49.82
505,3.142148153069093,23.87,48.9
510,3.1277066776432942,26.61,51.57000000000001
515,3.1331037123178698,25.91,50.41
520,3.0081626533233012,29.26,54.290000000000006
525,3.055772631438737,30.330000000000002,54.26
530,3.0684157917180013,27.08,52.01
535,3.0505789751859056,30.12,55.15
540,3.069728775122731,24.959999999999997,50.660000000000004
545,2.989855085451578,28.54,53.400000000000006
550,2.976321606291938,29.220000000000002,53.74
555,2.9590541013737313,32.28,57.18
560,2.9735390623820197,31.319999999999997,55.31
565,2.949684226635805,28.26,51.9
570,2.9928651249285827,29.459999999999997,53.18000000000001
575,2.966772197448101,32.08,55.669999999999995
580,2.923387352953252,31.94,55.61000000000001
585,2.9298161403420044,30.320000000000004,54.169999999999995
590,2.8986410258971538,29.21,53.449999999999996
595,2.902078854669001,29.65,54.05
600,2.883436289030252,34.489999999999995,58.089999999999996
605,2.977132231918807,31.730000000000004,55.089999999999996
610,2.7944881842308438,33.26,55.83
615,2.9121432402699265,33.050000000000004,55.63
620,2.874882965972743,32.18,55.54
625,2.9350703524560044,34.65,57.87
630,2.863124375490798,33.37,55.92
635,2.819406681454059,32.95,56.37
640,2.8017492663000048,35.23,57.54
645,2.8266138686347255,35.93,58.68
650,2.864256821956831,36.47,59.99
