epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
0,Train,Normal_accuracy,,,,,,6.116
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
0,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
0,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
1,Train,Normal_accuracy,,,,,,6.262
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
1,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
1,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
2,Train,Normal_accuracy,,,,,,6.582000000000001
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
2,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
2,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
3,Train,Normal_accuracy,,,,,,6.8580000000000005
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
3,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
3,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
4,Train,Normal_accuracy,,,,,,7.140000000000001
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
4,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
4,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
5,Train,Normal_accuracy,,,,,,7.484
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
5,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
5,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
6,Train,Normal_accuracy,,,,,,7.904
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
6,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
6,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
7,Train,Normal_accuracy,,,,,,8.288
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
7,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
7,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
8,Train,Normal_accuracy,,,,,,8.59
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
8,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
8,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
9,Train,Normal_accuracy,,,,,,8.988
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
9,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
9,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
10,Train,Normal_accuracy,,,,,,9.284
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
10,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
10,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
11,Train,Normal_accuracy,,,,,,9.81
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
11,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
11,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
12,Train,Normal_accuracy,,,,,,10.084
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
12,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
12,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:1')"
13,Train,Normal_accuracy,,,,,,10.494
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
13,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
