epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,7.782
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.04
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.5140066820868672
0,Train,Loss_measure,Clean,,,tensor(0.0045)
0,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
1,Train,Normal_accuracy,,,,9.85
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.068
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.6903553299492385
1,Train,Loss_measure,Clean,,,tensor(0.0045)
1,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
2,Train,Normal_accuracy,,,,12.078
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.11800000000000001
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.976982944196059
2,Train,Loss_measure,Clean,,,tensor(0.0045)
2,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
3,Train,Normal_accuracy,,,,14.704
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.196
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.3329706202393905
3,Train,Loss_measure,Clean,,,tensor(0.0045)
3,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
4,Train,Normal_accuracy,,,,17.413999999999998
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.22599999999999998
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.2978063626966807
4,Train,Loss_measure,Clean,,,tensor(0.0045)
4,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
5,Train,Normal_accuracy,,,,20.404
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.31
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.5193099392276024
5,Train,Loss_measure,Clean,,,tensor(0.0045)
5,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
6,Train,Normal_accuracy,,,,22.98
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.366
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.5926892950391645
6,Train,Loss_measure,Clean,,,tensor(0.0045)
6,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
7,Train,Normal_accuracy,,,,25.740000000000002
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.44200000000000006
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.7171717171717171
7,Train,Loss_measure,Clean,,,tensor(0.0045)
7,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
8,Train,Normal_accuracy,,,,28.65
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.49
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.7102966841186735
8,Train,Loss_measure,Clean,,,tensor(0.0045)
8,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
9,Train,Normal_accuracy,,,,31.35
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.5479999999999999
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.748006379585327
9,Train,Loss_measure,Clean,,,tensor(0.0045)
9,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
10,Train,Normal_accuracy,,,,34.094
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.642
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.8830292720126711
10,Train,Loss_measure,Clean,,,tensor(0.0045)
10,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
11,Train,Normal_accuracy,,,,36.89
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.6819999999999999
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.8487394957983194
11,Train,Loss_measure,Clean,,,tensor(0.0045)
11,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
12,Train,Normal_accuracy,,,,39.922000000000004
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.618
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.5480186363408648
12,Train,Loss_measure,Clean,,,tensor(0.0045)
12,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
13,Train,Normal_accuracy,,,,42.894
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.732
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.70653238215135
13,Train,Loss_measure,Clean,,,tensor(0.0045)
13,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
14,Train,Normal_accuracy,,,,45.94
14,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.744
14,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.6195037004788855
14,Train,Loss_measure,Clean,,,tensor(0.0045)
14,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
15,Train,Normal_accuracy,,,,48.914
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.832
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.7009445148628206
15,Train,Loss_measure,Clean,,,tensor(0.0045)
15,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
16,Train,Normal_accuracy,,,,51.662
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.836
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.6182106770934148
16,Train,Loss_measure,Clean,,,tensor(0.0045)
16,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
17,Train,Normal_accuracy,,,,54.071999999999996
17,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.9119999999999999
17,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.6866400355082114
17,Train,Loss_measure,Clean,,,tensor(0.0045)
17,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
18,Train,Normal_accuracy,,,,56.269999999999996
18,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.936
18,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.6634085658432558
18,Train,Loss_measure,Clean,,,tensor(0.0044)
18,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
19,Train,Normal_accuracy,,,,58.784000000000006
19,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.922
19,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.5684540010887316
19,Train,Loss_measure,Clean,,,tensor(0.0044)
19,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
0,Validation,Normal_accuracy,,,,7.539999999999999
