epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
0,Train,Normal_accuracy,,,,,,76.88199999999999
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.8059999999999999
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,1.048359824146094
0,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:0')"
0,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
1,Train,Normal_accuracy,,,,,,71.736
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.9039999999999999
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,1.2601762016281923
1,Train,Loss_measure,,,,,,"tensor(0.0044, device='cuda:0')"
1,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
2,Train,Normal_accuracy,,,,,,66.026
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.044000000000000004
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.06664041438221306
2,Train,Loss_measure,,,,,,"tensor(0.0044, device='cuda:0')"
2,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
3,Train,Normal_accuracy,,,,,,73.348
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.08
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.10906909527185471
3,Train,Loss_measure,,,,,,"tensor(0.0044, device='cuda:0')"
3,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
4,Train,Normal_accuracy,,,,,,75.382
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.812
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,1.0771802287018122
4,Train,Loss_measure,,,,,,"tensor(0.0044, device='cuda:0')"
4,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
5,Train,Normal_accuracy,,,,,,76.054
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.22
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.2892681515765114
5,Train,Loss_measure,,,,,,"tensor(0.0044, device='cuda:0')"
5,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
6,Train,Normal_accuracy,,,,,,75.02799999999999
