epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
0,Train,Normal_accuracy,,,,,,24.773999999999997
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.592
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,2.3896020020989748
0,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:0')"
0,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
1,Train,Normal_accuracy,,,,,,59.244
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,4.09
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,6.903652690567822
1,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:0')"
1,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
2,Train,Normal_accuracy,,,,,,73.708
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,10.972
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,14.885765452868075
2,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
2,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
3,Train,Normal_accuracy,,,,,,84.366
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,13.331999999999999
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,15.802574496835216
3,Train,Loss_measure,,,,,,"tensor(0.0040, device='cuda:0')"
3,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
4,Train,Normal_accuracy,,,,,,93.866
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,14.180000000000001
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,15.106641382396182
4,Train,Loss_measure,,,,,,"tensor(0.0040, device='cuda:0')"
4,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
5,Train,Normal_accuracy,,,,,,95.344
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,14.191999999999998
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,14.88504782681658
5,Train,Loss_measure,,,,,,"tensor(0.0039, device='cuda:0')"
5,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
6,Train,Normal_accuracy,,,,,,95.77799999999999
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,13.911999999999999
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,14.525256321911087
6,Train,Loss_measure,,,,,,"tensor(0.0039, device='cuda:0')"
6,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
7,Train,Normal_accuracy,,,,,,95.814
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,13.788
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,14.390381363892542
7,Train,Loss_measure,,,,,,"tensor(0.0039, device='cuda:0')"
7,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
8,Train,Normal_accuracy,,,,,,95.428
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,13.489999999999998
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,14.136312193486189
8,Train,Loss_measure,,,,,,"tensor(0.0039, device='cuda:0')"
8,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
9,Train,Normal_accuracy,,,,,,95.26
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,13.316
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,13.97858492546714
9,Train,Loss_measure,,,,,,"tensor(0.0039, device='cuda:0')"
9,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
10,Train,Normal_accuracy,,,,,,95.582
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,13.488
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,14.111443577242577
10,Train,Loss_measure,,,,,,"tensor(0.0038, device='cuda:0')"
10,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
11,Train,Normal_accuracy,,,,,,95.43599999999999
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,13.014000000000001
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,13.636363636363635
11,Train,Loss_measure,,,,,,"tensor(0.0038, device='cuda:0')"
11,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
12,Train,Normal_accuracy,,,,,,95.684
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,12.58
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,13.147443668742945
12,Train,Loss_measure,,,,,,"tensor(0.0038, device='cuda:0')"
12,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
13,Train,Normal_accuracy,,,,,,95.372
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,12.46
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,13.064631128633142
13,Train,Loss_measure,,,,,,"tensor(0.0038, device='cuda:0')"
13,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
14,Train,Normal_accuracy,,,,,,95.71
14,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,12.22
14,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,12.767735868770243
14,Train,Loss_measure,,,,,,"tensor(0.0038, device='cuda:0')"
14,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
15,Train,Normal_accuracy,,,,,,95.73
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,11.914
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,12.445419408753787
15,Train,Loss_measure,,,,,,"tensor(0.0038, device='cuda:0')"
15,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
16,Train,Normal_accuracy,,,,,,95.814
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,11.786000000000001
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,12.300916358778467
