epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.004
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.005597693750174928
15,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
15,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:0')"
16,Train,Normal_accuracy,,,,,,72.668
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
16,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
16,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:0')"
17,Train,Normal_accuracy,,,,,,73.952
17,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
17,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
17,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
17,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:0')"
18,Train,Normal_accuracy,,,,,,74.88
18,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.004
18,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.005341880341880342
18,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
18,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:0')"
19,Train,Normal_accuracy,,,,,,75.646
19,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.004
19,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0052877878539513
19,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
19,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:0')"
0,Validation,Normal_accuracy,,,,,,10.13
0,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
0,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
0,Validation,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
0,Validation,Loss_measure,,,,,,"tensor(0.0047, device='cuda:0')"
1,Validation,Normal_accuracy,,,,,,12.879999999999999
1,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
1,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
1,Validation,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
1,Validation,Loss_measure,,,,,,"tensor(0.0047, device='cuda:0')"
2,Validation,Normal_accuracy,,,,,,16.36
2,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
2,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
2,Validation,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
2,Validation,Loss_measure,,,,,,"tensor(0.0047, device='cuda:0')"
3,Validation,Normal_accuracy,,,,,,21.16
3,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
3,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
3,Validation,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
