epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,12.798000000000002
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.018000000000000002
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.14064697609001406
0,Train,Loss_measure,Clean,,,tensor(0.0045)
0,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
1,Train,Normal_accuracy,,,,12.966
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.012
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09254974548819991
1,Train,Loss_measure,Clean,,,tensor(0.0045)
1,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
2,Train,Normal_accuracy,,,,13.104
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.006
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.045787545787545784
2,Train,Loss_measure,Clean,,,tensor(0.0045)
2,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
3,Train,Normal_accuracy,,,,13.318
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.012
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09010361916203634
3,Train,Loss_measure,Clean,,,tensor(0.0045)
3,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
4,Train,Normal_accuracy,,,,13.489999999999998
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.008
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.05930318754633062
4,Train,Loss_measure,Clean,,,tensor(0.0045)
4,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
5,Train,Normal_accuracy,,,,13.628000000000002
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.012
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0880540064572938
5,Train,Loss_measure,Clean,,,tensor(0.0045)
5,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
6,Train,Normal_accuracy,,,,13.754
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.008
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.058164897484368185
6,Train,Loss_measure,Clean,,,tensor(0.0045)
6,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
7,Train,Normal_accuracy,,,,13.950000000000001
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.004
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.02867383512544803
7,Train,Loss_measure,Clean,,,tensor(0.0045)
7,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
8,Train,Normal_accuracy,,,,14.082
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.01
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.07101264024996448
8,Train,Loss_measure,Clean,,,tensor(0.0045)
8,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
9,Train,Normal_accuracy,,,,14.232
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.008
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.056211354693648116
9,Train,Loss_measure,Clean,,,tensor(0.0045)
9,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
10,Train,Normal_accuracy,,,,14.39
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.01
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.06949270326615706
10,Train,Loss_measure,Clean,,,tensor(0.0045)
10,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
11,Train,Normal_accuracy,,,,14.584
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.012
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.08228195282501372
11,Train,Loss_measure,Clean,,,tensor(0.0045)
11,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
12,Train,Normal_accuracy,,,,14.818000000000001
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.004
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.026994196247806725
12,Train,Loss_measure,Clean,,,tensor(0.0045)
12,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
13,Train,Normal_accuracy,,,,15.012
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.008
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.05329070077271516
13,Train,Loss_measure,Clean,,,tensor(0.0045)
13,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
14,Train,Normal_accuracy,,,,15.1
14,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.006
14,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.039735099337748346
14,Train,Loss_measure,Clean,,,tensor(0.0045)
14,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
15,Train,Normal_accuracy,,,,15.25
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.012
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.07868852459016393
15,Train,Loss_measure,Clean,,,tensor(0.0045)
15,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
16,Train,Normal_accuracy,,,,15.546
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.01
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.06432522835456066
16,Train,Loss_measure,Clean,,,tensor(0.0045)
16,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
17,Train,Normal_accuracy,,,,15.652
17,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.013999999999999999
17,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.08944543828264759
17,Train,Loss_measure,Clean,,,tensor(0.0045)
17,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
18,Train,Normal_accuracy,,,,15.964
18,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.016
18,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.10022550739163118
18,Train,Loss_measure,Clean,,,tensor(0.0045)
18,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
19,Train,Normal_accuracy,,,,16.032
19,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.008
19,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.049900199600798396
19,Train,Loss_measure,Clean,,,tensor(0.0045)
19,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
0,Validation,Normal_accuracy,,,,13.68
0,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.01
0,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.07309941520467836
0,Validation,Loss_measure,Clean,,,tensor(0.0046)
0,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
1,Validation,Normal_accuracy,,,,13.84
1,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.0
1,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0
1,Validation,Loss_measure,Clean,,,tensor(0.0046)
1,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
2,Validation,Normal_accuracy,,,,14.02
2,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.0
